name,size(Bytes),size(KB),path,status
asterik.svg,694,0.68,C:\_workplace\portfolio_2026\portfolio_2026\public\asterik.svg,unchanged
cursor-basic-2.png,685,0.67,C:\_workplace\portfolio_2026\portfolio_2026\public\cursors\cursor-basic-2.png,unchanged
cursor-basic.png,1217,1.19,C:\_workplace\portfolio_2026\portfolio_2026\public\cursors\cursor-basic.png,unchanged
cursor-grab.png,729,0.71,C:\_workplace\portfolio_2026\portfolio_2026\public\cursors\cursor-grab.png,unchanged
cursor-grabbed.png,551,0.54,C:\_workplace\portfolio_2026\portfolio_2026\public\cursors\cursor-grabbed.png,unchanged
cursor-loading.png,655,0.64,C:\_workplace\portfolio_2026\portfolio_2026\public\cursors\cursor-loading.png,unchanged
cursor-pointer-click.png,707,0.69,C:\_workplace\portfolio_2026\portfolio_2026\public\cursors\cursor-pointer-click.png,unchanged
cursor-pointer.png,1224,1.20,C:\_workplace\portfolio_2026\portfolio_2026\public\cursors\cursor-pointer.png,unchanged
cursor-text.png,332,0.32,C:\_workplace\portfolio_2026\portfolio_2026\public\cursors\cursor-text.png,unchanged
css.svg,953,0.93,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\css.svg,unchanged
eclipse.svg,3540,3.46,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\eclipse.svg,unchanged
git.svg,2947,2.88,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\git.svg,unchanged
github.svg,3040,2.97,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\github.svg,unchanged
html.svg,886,0.87,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\html.svg,unchanged
java.svg,2399,2.34,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\java.svg,unchanged
jquery.svg,13436,13.12,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\jquery.svg,unchanged
js.svg,1355,1.32,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\js.svg,unchanged
mysql.svg,4260,4.16,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\mysql.svg,unchanged
next.svg,2302,2.25,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\next.svg,unchanged
python.svg,2023,1.98,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\python.svg,unchanged
pytorch.svg,1032,1.01,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\pytorch.svg,unchanged
react.svg,2103,2.05,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\react.svg,unchanged
sklearn.svg,9349,9.13,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\sklearn.svg,unchanged
spring.svg,1588,1.55,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\spring.svg,unchanged
supabase.svg,1561,1.52,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\supabase.svg,unchanged
tailwind.svg,1112,1.09,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\tailwind.svg,unchanged
ts.svg,1998,1.95,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\ts.svg,unchanged
