name,size(Bytes),size(KB),path
asterik.svg,694,0.68,C:\_workplace\portfolio_2026\portfolio_2026\public\asterik.svg
cursor-basic-2.png,685,0.67,C:\_workplace\portfolio_2026\portfolio_2026\public\cursors\cursor-basic-2.png
cursor-basic.png,1217,1.19,C:\_workplace\portfolio_2026\portfolio_2026\public\cursors\cursor-basic.png
cursor-grab.png,729,0.71,C:\_workplace\portfolio_2026\portfolio_2026\public\cursors\cursor-grab.png
cursor-grabbed.png,551,0.54,C:\_workplace\portfolio_2026\portfolio_2026\public\cursors\cursor-grabbed.png
cursor-loading.png,655,0.64,C:\_workplace\portfolio_2026\portfolio_2026\public\cursors\cursor-loading.png
cursor-pointer-click.png,707,0.69,C:\_workplace\portfolio_2026\portfolio_2026\public\cursors\cursor-pointer-click.png
cursor-pointer.png,1224,1.2,C:\_workplace\portfolio_2026\portfolio_2026\public\cursors\cursor-pointer.png
cursor-text.png,332,0.32,C:\_workplace\portfolio_2026\portfolio_2026\public\cursors\cursor-text.png
css.svg,953,0.93,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\css.svg
eclipse.svg,3540,3.46,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\eclipse.svg
git.svg,2947,2.88,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\git.svg
github.svg,3040,2.97,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\github.svg
html.svg,886,0.87,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\html.svg
java.svg,2399,2.34,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\java.svg
jquery.svg,13436,13.12,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\jquery.svg
js.svg,1355,1.32,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\js.svg
mysql.svg,4260,4.16,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\mysql.svg
next.svg,2302,2.25,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\next.svg
python.svg,2023,1.98,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\python.svg
pytorch.svg,1032,1.01,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\pytorch.svg
react.svg,2103,2.05,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\react.svg
sklearn.svg,9349,9.13,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\sklearn.svg
spring.svg,1588,1.55,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\spring.svg
supabase.svg,1561,1.52,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\supabase.svg
tailwind.svg,1112,1.09,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\tailwind.svg
ts.svg,1998,1.95,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\ts.svg
vercel.svg,466,0.46,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\vercel.svg
vscode.svg,1427,1.39,C:\_workplace\portfolio_2026\portfolio_2026\public\icons\skills\vscode.svg
og-image.png,52548,51.32,C:\_workplace\portfolio_2026\portfolio_2026\public\og-image.png
adererror-1.webp,199685,195,C:\_workplace\portfolio_2026\portfolio_2026\src\assets\adererror-1.webp
branding.webp,60890,59.46,C:\_workplace\portfolio_2026\portfolio_2026\src\assets\branding.webp
character-1.webp,52402,51.17,C:\_workplace\portfolio_2026\portfolio_2026\src\assets\character-1.webp
character-2.webp,50980,49.79,C:\_workplace\portfolio_2026\portfolio_2026\src\assets\character-2.webp
gall-1.webp,518152,506,C:\_workplace\portfolio_2026\portfolio_2026\src\assets\gall-1.webp
gall-2.webp,222214,217,C:\_workplace\portfolio_2026\portfolio_2026\src\assets\gall-2.webp
gall-3-2.webp,11894,11.62,C:\_workplace\portfolio_2026\portfolio_2026\src\assets\gall-3-2.webp
gall-4.webp,317448,310,C:\_workplace\portfolio_2026\portfolio_2026\src\assets\gall-4.webp
asterik.svg,694,0.68,C:\_workplace\portfolio_2026\portfolio_2026\src\assets\icons\asterik.svg
neopharm.webp,190471,186,C:\_workplace\portfolio_2026\portfolio_2026\src\assets\neopharm.webp
profile-00.webp,240388,240.38,C:\_workplace\portfolio_2026\portfolio_2026\src\assets\profile-00.webp
profile-02.webp,2177270,2126.24,C:\_workplace\portfolio_2026\portfolio_2026\src\assets\profile-02.webp
profile-03.webp,1397010,1364.27,C:\_workplace\portfolio_2026\portfolio_2026\src\assets\profile-03.webp
project-mulalim.webp,66244,64.69,C:\_workplace\portfolio_2026\portfolio_2026\src\assets\projects\project-mulalim.webp
work-busan-waman.webp,"600,064",586,C:\_workplace\portfolio_2026\portfolio_2026\src\assets\works\work-busan-waman.webp
work-daedong.webp,"1,897,482","1,853",C:\_workplace\portfolio_2026\portfolio_2026\src\assets\works\work-daedong.webp
work-hytrans.webp,182880,178.59,C:\_workplace\portfolio_2026\portfolio_2026\src\assets\works\work-hytrans.webp
work-kyungbok.webp,228212,222.86,C:\_workplace\portfolio_2026\portfolio_2026\src\assets\works\work-kyungbok.webp
work-ubi-decision.webp,"862,352",842,C:\_workplace\portfolio_2026\portfolio_2026\src\assets\works\work-ubi-decision.webp
work-ulsan-univ.webp,"591,614",577.74,C:\_workplace\portfolio_2026\portfolio_2026\src\assets\works\work-ulsan-univ.webp
work-young.webp,201702,196.97,C:\_workplace\portfolio_2026\portfolio_2026\src\assets\works\work-young.webp
architecture.png,"66,050",64.5,C:\_workplace\portfolio_2026\portfolio_2026\public\docs\mulalim\architecture.png
trouble-shooting-cors-session.png,"222,361",217,C:\_workplace\portfolio_2026\portfolio_2026\public\docs\mulalim\trouble-shooting-cors-session.png
trouble-shooting-open-api-error.png,"300,832",293,C:\_workplace\portfolio_2026\portfolio_2026\public\docs\mulalim\trouble-shooting-open-api-error.png
TOTAL,10776410,10528.35,
